Solar Spectrum file	
Wavelength	Solar ET
816	1.103
817	1.099
818	1.077
819	1.071
820	1.064
821	1.063
822	1.065
823	1.076
824	1.073
825	1.07
826	1.078
827	1.076
828	1.07
829	1.063
830	1.06
831	1.054
832	1.057
833	1.024
834	1.029
835	1.045
836	1.05
837	1.045
838	1.029
839	1.026
840	1.043
841	1.037
842	1.028
843	1.016
844	1.009
845	1.033
846	1.027
847	1.004
848	1.003
849	0.9749
850	0.933
851	0.9939
852	0.9844
853	0.9427
854	0.8179
855	0.893
856	0.9783
857	0.9964
858	0.9905
859	0.9894
860	0.9896
861	0.9847
862	0.9994
863	1.023
864	0.9716
865	0.9627
866	0.8656
867	0.9032
868	0.9827
869	0.9621
870	0.9894
871	0.976
872	0.9723
873	0.9703
874	0.9587
875	0.9395
876	0.9496
877	0.9588
878	0.9702
879	0.955
880	0.9344
881	0.9231
882	0.9436
883	0.9448
884	0.941
885	0.948
886	0.9126
887	0.9158
888	0.9357
889	0.936
890	0.9387
891	0.9316
892	0.9167
893	0.9112
894	0.9134
895	0.9098
896	0.9232
897	0.9093
898	0.9131
899	0.9104
900	0.8896
901	0.859
902	0.8678
903	0.9008
904	0.9098
905	0.9072
906	0.8862
907	0.8934
908	0.8777
909	0.8598
910	0.8768
911	0.8722
912	0.8734
913	0.8926
914	0.882
915	0.8747
916	0.8785
917	0.8661
918	0.8703
919	0.8733
920	0.8626
921	0.841
922	0.8378
923	0.8148
924	0.8406
925	0.8404
926	0.8297
927	0.8561
928	0.8575
929	0.8461
930	0.8505
931	0.8505
932	0.846
933	0.8492
934	0.8471
935	0.8371
936	0.833
937	0.8389
938	0.8382
939	0.8322
940	0.8224
941	0.7925
942	0.809
943	0.8189
944	0.8079
945	0.816
946	0.8189
947	0.8207
948	0.8214
949	0.8207
950	0.8149
951	0.8105
952	0.8112
953	0.8038
954	0.7792
955	0.766
956	0.7984
957	0.7922
958	0.8008
959	0.8016
960	0.7903
961	0.7941
962	0.7873
963	0.7834
964	0.7831
965	0.78
966	0.7737
967	0.7804
968	0.7793
969	0.7788
970	0.778
971	0.7756
972	0.7774
973	0.7692
974	0.7598
975	0.769
976	0.7647
977	0.763
978	0.7619
979	0.7555
980	0.7594
981	0.7635
982	0.7609
983	0.7554
984	0.7544
985	0.755
986	0.7494
987	0.7479
988	0.7489
989	0.7371
990	0.7402
991	0.7415
992	0.7438
993	0.7418
994	0.7418
995	0.7385
996	0.7379
997	0.7376
998	0.7351
999	0.7317
1000	0.7307
1001	0.7352
1002	0.732
1003	0.7233
1004	0.71
1005	0.6779
1006	0.7078
1007	0.7208
1008	0.7203
1009	0.7199
1010	0.7188
1011	0.7167
1012	0.7141
1013	0.7141
1014	0.7091
1015	0.705
1016	0.7023
1017	0.7045
1018	0.6999
1019	0.6914
1020	0.6972
1021	0.6951
1022	0.692
1023	0.7
1024	0.6976
1025	0.6971
1026	0.6957
1027	0.6939
1028	0.693
1029	0.6853
1030	0.6876
1031	0.6859
1032	0.6831
1033	0.673
1034	0.6728
1035	0.6749
1036	0.6791
1037	0.6678
1038	0.671
1039	0.671
1040	0.6684
1041	0.6716
1042	0.667
1043	0.6652
1044	0.6679
1045	0.6592
1046	0.6523
1047	0.6586
1048	0.6627
1049	0.6608
1050	0.6583
1051	0.658
1052	0.6559
1053	0.6514
1054	0.6536
1055	0.6549
1056	0.6536
1057	0.6524
1058	0.6372
1059	0.6389
1060	0.6384
1061	0.6382
1062	0.6426
1063	0.637
1064	0.6442
1065	0.6419
1066	0.6274
1067	0.6361
1068	0.624
1069	0.6036
1070	0.6262
1071	0.6297
1072	0.6272
1073	0.6168
1074	0.6265
1075	0.6132
1076	0.6271
1077	0.627
1078	0.6177
1079	0.6143
1080	0.6229
1081	0.6057
1082	0.6003
1083	0.5994
1084	0.614
1085	0.6176
1086	0.61
1087	0.5893
1088	0.6024
1089	0.6015
1090	0.6095
1091	0.6065
1092	0.6009
1093	0.5811
1094	0.5568
1095	0.5835
1096	0.583
1097	0.5839
1098	0.5759
1099	0.5892
1100	0.5927
